time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,801.2,801.25,801.2,801.2,1232,50.8493,793.3848,798.7373,804.0898,799.1557
2021-07-09 19:30:00,801.0,801.0,801.0,801.0,503,50.6797,793.2107,798.6141,804.0176,799.0722
2021-07-09 18:45:00,801.1,801.1001,801.1,801.1001,360,50.7655,793.1127,798.5165,803.9203,798.9935
2021-07-09 18:30:00,801.0,801.25,801.0,801.25,497,50.6837,793.1136,798.5155,803.9174,798.9075
2021-07-09 18:00:00,800.69,801.0,800.69,801.0,1802,50.4335,793.1136,798.5155,803.9174,798.8221
2021-07-09 17:45:00,800.8,800.9125,800.7,800.9125,1940,50.5226,793.0773,798.5467,804.0161,798.7459
2021-07-09 17:30:00,800.95,801.15,800.95,801.0,2142,50.6423,793.0745,798.5507,804.027,798.6621
2021-07-09 17:15:00,801.0,801.0,800.8168,800.8168,2065,50.6815,793.0145,798.5917,804.169,798.5687
2021-07-09 17:00:00,800.75,801.0,800.75,801.0,4334,50.4937,792.8819,798.4817,804.0816,798.4694
2021-07-09 16:45:00,801.2,801.2,800.75,801.0,4342,50.8351,792.7219,798.3667,804.0115,798.3764
2021-07-09 16:30:00,801.25,802.01,800.79,801.25,3314,50.8725,792.58,798.2427,803.9055,798.2611
2021-07-09 16:15:00,802.01,802.01,800.8,800.99,92095,51.437,792.4501,798.1177,803.7853,798.1391
2021-07-09 16:00:00,801.09,803.0433,800.62,802.01,522123,50.7892,792.3903,797.9895,803.5887,797.9811
2021-07-09 15:45:00,802.13,802.8399,800.615,800.9501,298294,51.5511,792.319,797.8821,803.4452,797.8542
2021-07-09 15:30:00,798.86,803.205,798.86,802.115,446559,49.2033,792.2938,797.7539,803.214,797.6797
2021-07-09 15:15:00,798.48,799.51,798.46,798.86,157714,48.9214,792.2252,797.6971,803.1691,797.6315
2021-07-09 15:00:00,798.02,798.95,797.1301,798.47,142769,48.5829,792.1577,797.6465,803.1354,797.5969
2021-07-09 14:45:00,796.5,798.5,796.2135,798.07,191926,47.4554,792.0902,797.6021,803.114,797.5796
2021-07-09 14:30:00,796.39,796.51,795.2147,796.47,116013,47.3735,792.0705,797.5921,803.1138,797.6237
2021-07-09 14:15:00,797.51,797.95,796.1801,796.345,91343,48.1215,792.0365,797.5763,803.1162,797.674
2021-07-09 14:00:00,797.73,797.94,796.57,797.555,101623,48.2682,791.9887,797.5461,803.1035,797.6807
2021-07-09 13:45:00,797.84,798.6,797.5601,797.64,95415,48.3404,791.9272,797.5067,803.0862,797.6787
2021-07-09 13:30:00,796.325,797.89,796.1914,797.57,90921,47.2758,791.8799,797.4721,803.0644,797.6721
2021-07-09 13:15:00,797.8033,797.8033,795.81,796.2625,112946,48.2262,791.538,797.374,803.2101,797.7271
2021-07-09 13:00:00,799.12,799.2,797.4001,797.76,132912,49.0875,791.3043,797.2749,803.2454,797.724
2021-07-09 12:45:00,796.49,799.35,795.85,799.0401,175580,47.243,791.0992,797.1555,803.2118,797.667
2021-07-09 12:30:00,795.73,796.72,794.7801,796.41,206926,46.6962,791.0758,797.1415,803.2071,797.7151
2021-07-09 12:15:00,796.68,798.11,795.68,795.68,133822,47.2968,791.1209,797.1733,803.2256,797.7961
2021-07-09 12:00:00,797.01,797.7209,796.09,796.55,166423,47.5048,791.0871,797.1529,803.2186,797.8417
2021-07-09 11:45:00,798.87,799.495,796.85,796.945,217201,48.6874,791.1024,797.1725,803.2427,797.8756
2021-07-09 11:30:00,796.8081,800.551,796.1601,798.69,341478,47.261,791.1024,797.1723,803.2422,797.835
2021-07-09 11:15:00,793.78,797.39,793.6027,796.9128,309879,45.0631,791.0728,797.269,803.4651,797.8769
2021-07-09 11:00:00,792.545,794.09,790.86,793.77,271466,44.1325,791.2161,797.4106,803.6051,798.0441
2021-07-09 10:45:00,793.1,793.8799,791.0,792.525,270403,44.4642,791.4884,797.5355,803.5827,798.2686
2021-07-09 10:30:00,791.355,794.8899,790.17,792.8,443552,43.1476,791.7126,797.6873,803.6621,798.4796
2021-07-09 10:15:00,795.95,796.27,790.8,791.35,389168,45.9594,792.0749,797.9064,803.738,798.7704
2021-07-09 10:00:00,794.45,798.07,791.89,795.89,422661,44.8088,792.0904,798.0394,803.9884,798.8855
2021-07-09 09:45:00,798.5,801.61,791.7,794.03,828475,47.484,792.2284,798.1915,804.1546,799.0665
2021-07-09 09:30:00,799.15,802.0,798.85,799.01,21942,47.9341,792.0809,798.3153,804.5497,799.0896
2021-07-09 09:15:00,800.34,800.9,799.25,799.54,11067,48.7635,792.0619,798.2923,804.5227,799.0872
2021-07-09 09:00:00,799.62,800.35,799.02,800.35,9001,48.2324,792.0255,798.2331,804.4408,799.036
2021-07-09 08:45:00,800.85,801.8,798.79,798.87,17833,49.0841,792.0172,798.2133,804.4095,799.0122
2021-07-09 08:30:00,801.0,801.0,800.22,800.5,7366,49.1879,791.7893,798.0689,804.3485,798.9372
2021-07-09 08:15:00,802.52,803.2587,800.3156,802.0,24526,50.2432,791.7214,797.9695,804.2176,798.853
2021-07-09 08:00:00,801.5,801.88,800.36,801.79,5689,49.5312,791.7247,797.8487,803.9726,798.7033
2021-07-09 07:45:00,801.0,802.0,799.5,800.5,10785,49.1818,791.6072,797.7094,803.8115,798.5892
2021-07-09 07:30:00,801.95,802.0,800.3,800.7,4749,49.824,791.5564,797.6065,803.6565,798.4908
2021-07-09 07:15:00,800.0,803.0,799.5,801.0,18711,48.4705,791.4761,797.4575,803.4388,798.3496
2021-07-09 07:00:00,798.47,800.0,798.45,799.57,6888,47.3791,791.3406,797.3427,803.3447,798.2822
2021-07-09 06:45:00,798.45,798.5,798.45,798.5,1912,47.3648,791.1367,797.2381,803.3394,798.2746
2021-07-09 06:30:00,795.04,797.0,795.0,797.0,1474,44.8644,790.9251,797.1293,803.3334,798.2674
2021-07-09 06:15:00,796.12,796.12,795.34,796.0,1423,45.5358,790.7919,797.0853,803.3786,798.3991
2021-07-09 05:45:00,801.05,801.05,800.0,800.0,1785,48.803,790.5126,796.9929,803.4731,798.4922
2021-07-09 05:15:00,801.0,801.0,800.84,800.84,924,48.7664,790.0496,796.7605,803.4713,798.3878
2021-07-09 05:00:00,802.25,802.25,800.11,800.11,1138,49.6343,789.6804,796.5405,803.4005,798.2811
2021-07-09 04:30:00,801.0,801.0,801.0,801.0,682,48.7403,789.3936,796.2955,803.1973,798.1191
2021-07-09 04:15:00,803.0,803.0,803.0,803.0,268,50.1356,789.0966,796.0777,803.0587,798.0016
2021-07-08 20:00:00,795.5,795.5,795.5,795.5,204,44.2729,789.1674,795.8917,802.6159,797.7975
2021-07-08 19:45:00,795.0,795.5,795.0,795.5,1026,43.8415,789.0167,795.8237,802.6306,797.8913
2021-07-08 19:30:00,795.0001,795.0001,795.0,795.0,329,43.8415,788.798,795.7413,802.6845,798.0093
2021-07-08 19:15:00,795.0,795.9,795.0,795.0,2324,43.8415,788.3325,795.6019,802.8712,798.1321
2021-07-08 19:00:00,795.6001,795.6001,795.6,795.6,435,44.2282,788.3004,795.5819,802.8633,798.26
2021-07-08 18:45:00,795.72,795.72,795.72,795.72,288,44.3047,788.3075,795.5898,802.8722,798.3686
2021-07-08 18:30:00,795.72,795.85,795.72,795.85,583,44.3047,788.309,795.5914,802.8739,798.4767
