time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,243.0,243.0,234.0201,235.41,2212615,36.8185,195.5288,250.1108,304.6928,257.7568
2021-07-02,242.0,246.8004,238.88,240.72,2328028,36.6787,195.608,250.9058,306.2036,258.3591
2021-07-01,251.09,255.15,240.53,241.44,3627357,37.4166,194.8598,252.181,309.5021,259.0269
2021-06-30,248.3,254.67,247.0,253.3,4143487,37.0355,193.653,253.4096,313.1661,259.3508
2021-06-29,250.2,261.15,250.01,254.9,7867552,37.1866,191.3206,255.1121,318.9036,259.8019
2021-06-28,227.64,248.06,226.13,246.69,7449035,34.0561,189.0656,256.8533,324.6409,260.1938
2021-06-25,226.97,227.82,223.22,224.54,2506957,33.9603,188.7776,258.8505,328.9234,261.5225
2021-06-24,228.46,230.04,226.665,229.93,2857722,34.0682,187.439,261.2891,335.1391,262.9328
